jaar,patientgroep,Provincie,geslacht,leeftijdsklasse,dialysevorm,dialysevorm_sub,prevalentie_abs,prevalentie_rel,prevalentie_rel_std,incidentie_dag1_abs,incidentie_dag1_rel,incidentie_dag1_rel_std,incidentie_dag91_abs,incidentie_dag91_rel,incidentie_dag91_rel_std,Aantal_patienten_kosten,Zorgkosten_totaal,Zorgkosten_eerstelijns,Zorgkosten_medicatie,Zorgkosten_ziekenvervoer,Zorgkosten_GGZ,Zorgkosten_overig,Zorgkosten_DBC_RRT,Zorgkosten_DBC_overig,Zorgkosten_DBC_totaal,Noemer_overige_themas,Aantal_specialist,Pct_specialist,Aantal_cardioloog,Pct_cardioloog,Aantal_internist,Pct_internist,Aantal_dermatoloog,Pct_dermatoloog,Aantal_chirurg,Pct_chrirug,Aantal_fysiotherapeut,Pct_fysiotherapeut,Aantal_dietist,pct_dietist,Aantal_shuntinterventies,Pct_shuntinterventies,Aantal_screening_transplantatie,Pct_screening_transplantatie,Aantal_intensive_care,Pct_intensive_care,Aantal_dialyse_intensive_care,Pct_dialyse_intensive_care,Aantal_antihypertensiva_RAAS,Pct_antihypertensiva_RAAS,Aantal_antihyp_ACE_remmers,Pct_antihyp_ACE_remmers,Aantal_diabetesmed_insuline,Pct_diabetesmed_insuline,Aantal_diabetesmed_overig,Pct_diabetesmed_overig,Aantal_lipid_statine,Pct_lipid_statine,Aantal_lipid_overig,Pct_lipid_overig,Aantal_antidepressiva,Pct_antidepressiva,Aantal_slaapmedicatie,Pct_slaapmedicatie,Aantal_antistolling,Pct_antistolling,Aantal_overlijden,pct_overlijden,Aantal_procedure_vaatlijden,Pct_procedure_vaatlijden,Aantal_SEH,pct_seh,Aantal_polikliniek,Pct_polikliniek,Aantal_opname,pct_opname,Aantal_diabetes,Pct_diabetes,Aantal_maligniteit,pct_maligniteit,Aantal_macrovasculair,pct_macrovasculair,Aantal_coronair,pct_coronair,Aantal_perif_art_vaatl,Pct_perif_art_vaatl,Aantal_CVA_TIA,Pct_CVA_TIA,Aantal_hypertensie,pct_hypertensie
2012,Dialyse,Alle,M+V,20-44 jaar,Alle,Alle,571,109,,,,,,,,,,,,,,,,,,571,504,88.27%,244,48.41%,308,61.11%,100,19.84%,227,45.04%,26,4.55%,,,,,,,68,11.91%,16,23.53%,314,54.99%,210,36.78%,67,11.73%,11,1.93%,151,26.44%,,,,,,,,,17,2.98%,,,,,,,,,,,18,3.15%,80,14.01%,34,5.95%,42,7.36%,,,463,81.09%
2012,Dialyse,Alle,M+V,20-44 jaar,Hemodialyse (HD),Alle subvormen HD,472,90,,,,,,,,,,,,,,,,,,476,423,88.87%,207,48.94%,262,61.94%,82,19.39%,203,47.99%,,,,,,,,,,,,,251,52.73%,163,34.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,14.29%,,,,,,,381,80.04%
2012,Dialyse,Alle,M+V,20-44 jaar,Hemodialyse (HD),HD in centrum,429,82,,,,,,,,,,,,,,,,,,432,385,89.12%,190,49.35%,239,62.08%,,,,,,,,,,,,,,,,,229,53.01%,147,34.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,80.79%
2012,Dialyse,Alle,M+V,20-44 jaar,Hemodialyse (HD),HD thuis,43,8,,,,,,,,,,,,,,,,,,44,38,86.36%,17,44.74%,23,60.53%,,,,,,,,,,,,,,,,,22,50.00%,16,36.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,72.73%
2012,Dialyse,Alle,M+V,20-44 jaar,Peritoneale dialyse (PD),Alle subvormen PD,95,18,,,,,,,,,,,,,,,,,,95,81,85.26%,37,45.68%,46,56.79%,18,22.22%,24,29.63%,,,,,,,,,,,,,63,66.32%,47,49.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.63%,,,,,,,82,86.32%
2012,Dialyse,Alle,M+V,20-44 jaar,Peritoneale dialyse (PD),APD,66,13,,,,,,,,,,,,,,,,,,66,58,87.88%,,,,,,,,,,,,,,,,,,,,,42,63.64%,31,46.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,87.88%
2012,Dialyse,Alle,M+V,20-44 jaar,Peritoneale dialyse (PD),CAPD,29,6,,,,,,,,,,,,,,,,,,29,23,79.31%,,,,,,,,,,,,,,,,,,,,,21,72.41%,16,55.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,82.76%
2012,Dialyse,Alle,M+V,45-64 jaar,Alle,Alle,1857,398,,,,,,,,,,,,,,,,,,1857,1726,92.95%,956,55.39%,1038,60.14%,342,19.81%,726,42.06%,120,6.46%,,,,,,,245,13.19%,87,35.51%,1031,55.52%,633,34.09%,460,24.77%,127,6.84%,920,49.54%,,,,,,,,,165,8.89%,,,,,,,,,,,183,9.85%,470,25.31%,268,14.43%,220,11.85%,,,1625,87.51%
2012,Dialyse,Alle,M+V,45-64 jaar,Hemodialyse (HD),Alle subvormen HD,1482,318,,,,,,,,,,,,,,,,,,1484,1389,93.60%,774,55.72%,843,60.69%,281,20.23%,592,42.62%,,,,,,,,,,,,,771,51.95%,474,31.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,26.62%,,,,,,,1272,85.71%
2012,Dialyse,Alle,M+V,45-64 jaar,Hemodialyse (HD),HD in centrum,1386,298,,,,,,,,,,,,,,,,,,1388,1303,93.88%,732,56.18%,785,60.25%,263,20.18%,566,43.44%,,,,,,,,,,,,,731,52.67%,448,32.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,138,9.94%,380,27.38%,,,,,,,1197,86.24%
2012,Dialyse,Alle,M+V,45-64 jaar,Hemodialyse (HD),HD thuis,96,21,,,,,,,,,,,,,,,,,,96,86,89.58%,42,48.84%,58,67.44%,18,20.93%,26,30.23%,,,,,,,,,,,,,40,41.67%,26,27.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12.50%,15,15.63%,,,,,,,75,78.13%
2012,Dialyse,Alle,M+V,45-64 jaar,Peritoneale dialyse (PD),Alle subvormen PD,370,79,,,,,,,,,,,,,,,,,,373,337,90.35%,182,54.01%,195,57.86%,61,18.10%,134,39.76%,,,,,,,,,,,,,260,69.71%,159,42.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,20.11%,,,,,,,353,94.64%
2012,Dialyse,Alle,M+V,45-64 jaar,Peritoneale dialyse (PD),APD,210,45,,,,,,,,,,,,,,,,,,211,197,93.36%,,,,,,,,,10,4.74%,,,,,,,18,8.53%,,,151,71.56%,91,43.13%,40,18.96%,,,,,,,,,,,,,17,8.06%,,,,,,,,,,,17,8.06%,41,19.43%,27,12.80%,13,6.16%,,,199,94.31%
2012,Dialyse,Alle,M+V,45-64 jaar,Peritoneale dialyse (PD),CAPD,160,34,,,,,,,,,,,,,,,,,,162,140,86.42%,,,,,,,,,10,6.17%,,,,,,,17,10.49%,,,109,67.28%,68,41.98%,27,16.67%,,,,,,,,,,,,,19,11.73%,,,,,,,,,,,16,9.88%,34,20.99%,21,12.96%,14,8.64%,,,154,95.06%
2012,Dialyse,Alle,M+V,65-74 jaar,Alle,Alle,1581,978,,,,,,,,,,,,,,,,,,1581,1514,95.76%,934,61.69%,913,60.30%,343,22.66%,634,41.88%,137,8.67%,,,,,,,220,13.92%,53,24.09%,783,49.53%,434,27.45%,410,25.93%,180,11.39%,943,59.65%,50,3.16%,200,12.65%,153,9.68%,1163,73.56%,243,15.37%,,,,,,,,,,,263,16.64%,536,33.90%,307,19.42%,254,16.07%,56,3.54%,1419,89.75%
2012,Dialyse,Alle,M+V,65-74 jaar,Hemodialyse (HD),Alle subvormen HD,1318,817,,,,,,,,,,,,,,,,,,1319,1265,95.91%,783,61.90%,764,60.40%,288,22.77%,552,43.64%,117,8.87%,,,,,,,208,15.77%,,,621,47.08%,350,26.54%,346,26.23%,147,11.14%,777,58.91%,,,,,,,,,202,15.31%,,,,,,,,,,,215,16.30%,459,34.80%,251,19.03%,233,17.66%,,,1169,88.63%
2012,Dialyse,Alle,M+V,65-74 jaar,Hemodialyse (HD),HD in centrum,1278,792,,,,,,,,,,,,,,,,,,1278,1225,95.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,15.96%,442,34.59%,241,18.86%,,,,,,
2012,Dialyse,Alle,M+V,65-74 jaar,Hemodialyse (HD),HD thuis,40,25,,,,,,,,,,,,,,,,,,41,40,97.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,26.83%,17,41.46%,10,24.39%,,,,,,
2012,Dialyse,Alle,M+V,65-74 jaar,Peritoneale dialyse (PD),Alle subvormen PD,261,162,,,,,,,,,,,,,,,,,,262,249,95.04%,151,60.64%,149,59.84%,55,22.09%,82,32.93%,20,7.63%,,,,,,,12,4.58%,,,162,61.83%,84,32.06%,64,24.43%,33,12.60%,166,63.36%,,,,,,,,,41,15.65%,,,,,,,,,,,48,18.32%,77,29.39%,56,21.37%,21,8.02%,,,250,95.42%
2012,Dialyse,Alle,M+V,65-74 jaar,Peritoneale dialyse (PD),APD,149,92,,,,,,,,,,,,,,,,,,150,145,96.67%,86,59.31%,85,58.62%,31,21.38%,48,33.10%,,,,,,,,,,,,,94,62.67%,51,34.00%,36,24.00%,23,15.33%,94,62.67%,,,11,7.33%,,,,,20,13.33%,,,,,,,,,,,35,23.33%,40,26.67%,30,20.00%,10,6.67%,,,140,93.33%
2012,Dialyse,Alle,M+V,65-74 jaar,Peritoneale dialyse (PD),CAPD,112,69,,,,,,,,,,,,,,,,,,112,104,92.86%,65,62.50%,64,61.54%,24,23.08%,34,32.69%,,,,,,,,,,,,,68,60.71%,33,29.46%,28,25.00%,10,8.93%,72,64.29%,,,12,10.71%,,,,,21,18.75%,,,,,,,,,,,13,11.61%,37,33.04%,26,23.21%,11,9.82%,,,110,98.21%
2012,Dialyse,Alle,M+V,75 jaar en ouder,Alle,Alle,2238,1780,,,,,,,,,,,,,,,,,,2238,2104,94.01%,1204,57.22%,1191,56.61%,530,25.19%,784,37.26%,168,7.51%,,,,,,,196,8.76%,49,25.00%,1014,45.31%,510,22.79%,426,19.03%,228,10.19%,1238,55.32%,47,2.10%,257,11.48%,210,9.38%,1758,78.55%,526,23.50%,,,,,,,,,,,322,14.39%,664,29.67%,353,15.77%,317,14.16%,89,3.98%,1975,88.25%
2012,Dialyse,Alle,M+V,75 jaar en ouder,Hemodialyse (HD),Alle subvormen HD,1990,1606,,,,,,,,,,,,,,,,,,1991,1871,93.97%,1068,57.08%,1056,56.44%,464,24.80%,708,37.84%,151,7.58%,,,,,,,183,9.19%,,,867,43.55%,437,21.95%,366,18.38%,201,10.10%,1086,54.55%,,,,,,,,,472,23.71%,,,,,,,,,,,290,14.57%,586,29.43%,309,15.52%,286,14.36%,,,1743,87.54%
2012,Dialyse,Alle,M+V,75 jaar en ouder,Hemodialyse (HD),HD in centrum,1979,1597,,,,,,,,,,,,,,,,,,1980,1861,93.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Dialyse,Alle,M+V,75 jaar en ouder,Hemodialyse (HD),HD thuis,11,9,,,,,,,,,,,,,,,,,,11,10,90.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Dialyse,Alle,M+V,75 jaar en ouder,Peritoneale dialyse (PD),Alle subvormen PD,247,199,,,,,,,,,,,,,,,,,,247,233,94.33%,136,58.37%,135,57.94%,66,28.33%,76,32.62%,17,6.88%,,,,,,,13,5.26%,,,147,59.51%,73,29.55%,60,24.29%,27,10.93%,152,61.54%,,,,,,,,,54,21.86%,,,,,,,,,,,32,12.96%,78,31.58%,44,17.81%,31,12.55%,,,232,93.93%
2012,Dialyse,Alle,M+V,75 jaar en ouder,Peritoneale dialyse (PD),APD,106,86,,,,,,,,,,,,,,,,,,106,99,93.40%,60,60.61%,55,55.56%,32,32.32%,25,25.25%,,,,,,,,,,,,,60,56.60%,27,25.47%,19,17.92%,10,9.43%,69,65.09%,,,13,12.26%,,,,,25,23.58%,,,,,,,,,,,19,17.92%,32,30.19%,22,20.75%,10,9.43%,,,99,93.40%
2012,Dialyse,Alle,M+V,75 jaar en ouder,Peritoneale dialyse (PD),CAPD,141,114,,,,,,,,,,,,,,,,,,141,134,95.04%,76,56.72%,80,59.70%,34,25.37%,51,38.06%,,,,,,,,,,,,,87,61.70%,46,32.62%,41,29.08%,17,12.06%,83,58.87%,,,16,11.35%,,,,,29,20.57%,,,,,,,,,,,13,9.22%,46,32.62%,22,15.60%,21,14.89%,,,133,94.33%
2012,Dialyse,Alle,V,Alle (20+),Alle,Alle,2515,385,,,,,,,,,,,,,,,,,,2515,2349,93.40%,1246,53.04%,1394,59.34%,519,22.09%,941,40.06%,181,7.20%,,,,,,,283,11.25%,68,24.03%,1252,49.78%,668,26.56%,579,23.02%,212,8.43%,1252,49.78%,71,2.82%,383,15.23%,284,11.29%,1606,63.86%,351,13.96%,,,,,,,,,,,254,10.10%,566,22.50%,281,11.17%,273,10.85%,81,3.22%,2179,86.64%
2012,Dialyse,Alle,V,Alle (20+),Hemodialyse (HD),Alle subvormen HD,2125,326,,,,,,,,,,,,,,,,,,2129,2002,94.03%,1083,54.10%,1181,58.99%,437,21.83%,827,41.31%,161,7.56%,,,,,,,264,12.40%,,,1019,47.86%,537,25.22%,504,23.67%,181,8.50%,1054,49.51%,60,2.82%,340,15.97%,261,12.26%,1439,67.59%,301,14.14%,,,,,,,,,,,214,10.05%,506,23.77%,249,11.70%,247,11.60%,,,1829,85.91%
2012,Dialyse,Alle,V,Alle (20+),Hemodialyse (HD),HD in centrum,2063,317,,,,,,,,,,,,,,,,,,2067,1946,94.15%,1063,54.62%,1145,58.84%,424,21.79%,804,41.32%,,,,,,,,,,,,,999,48.33%,524,25.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785,86.36%
2012,Dialyse,Alle,V,Alle (20+),Hemodialyse (HD),HD thuis,62,10,,,,,,,,,,,,,,,,,,62,56,90.32%,20,35.71%,36,64.29%,13,23.21%,23,41.07%,,,,,,,,,,,,,20,32.26%,13,20.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,70.97%
2012,Dialyse,Alle,V,Alle (20+),Peritoneale dialyse (PD),Alle subvormen PD,385,59,,,,,,,,,,,,,,,,,,386,347,89.90%,163,46.97%,213,61.38%,82,23.63%,114,32.85%,20,5.18%,,,,,,,19,4.92%,,,233,60.36%,131,33.94%,75,19.43%,31,8.03%,198,51.30%,11,2.85%,43,11.14%,23,5.96%,167,43.26%,50,12.95%,,,,,,,,,,,40,10.36%,60,15.54%,32,8.29%,26,6.74%,,,350,90.67%
2012,Dialyse,Alle,V,Alle (20+),Peritoneale dialyse (PD),APD,212,33,,,,,,,,,,,,,,,,,,213,195,91.55%,92,47.18%,116,59.49%,47,24.10%,65,33.33%,,,,,,,,,,,,,125,58.69%,73,34.27%,36,16.90%,17,7.98%,109,51.17%,,,27,12.68%,12,5.63%,88,41.31%,24,11.27%,,,,,,,,,,,27,12.68%,33,15.49%,16,7.51%,15,7.04%,,,190,89.20%
2012,Dialyse,Alle,V,Alle (20+),Peritoneale dialyse (PD),CAPD,173,27,,,,,,,,,,,,,,,,,,173,152,87.86%,71,46.71%,97,63.82%,35,23.03%,49,32.24%,,,,,,,,,,,,,108,62.43%,58,33.53%,39,22.54%,14,8.09%,89,51.45%,,,16,9.25%,11,6.36%,79,45.66%,26,15.03%,,,,,,,,,,,13,7.51%,27,15.61%,16,9.25%,11,6.36%,,,160,92.49%
2012,Dialyse,Alle,V,20-44 jaar,Alle,Alle,239,91,,,,,,,,,,,,,,,,,,239,219,91.63%,107,48.86%,137,62.56%,48,21.92%,105,47.95%,11,4.60%,,,,,,,30,12.55%,,,128,53.56%,82,34.31%,32,13.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,34,14.23%,,,,,,,192,80.33%
2012,Dialyse,Alle,V,20-44 jaar,Hemodialyse (HD),Alle subvormen HD,180,69,,,,,,,,,,,,,,,,,,183,170,92.90%,85,50.00%,110,64.71%,,,,,,,,,,,,,,,,,93,50.82%,56,30.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,79.78%
2012,Dialyse,Alle,V,20-44 jaar,Hemodialyse (HD),HD in centrum,163,62,,,,,,,,,,,,,,,,,,166,154,92.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Dialyse,Alle,V,20-44 jaar,Hemodialyse (HD),HD thuis,17,7,,,,,,,,,,,,,,,,,,17,16,94.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Dialyse,Alle,V,20-44 jaar,Peritoneale dialyse (PD),Alle subvormen PD,56,21,,,,,,,,,,,,,,,,,,56,49,87.50%,22,44.90%,27,55.10%,,,,,,,,,,,,,,,,,35,62.50%,26,46.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,82.14%
2012,Dialyse,Alle,V,20-44 jaar,Peritoneale dialyse (PD),APD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Dialyse,Alle,V,20-44 jaar,Peritoneale dialyse (PD),CAPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Dialyse,Alle,V,45-64 jaar,Alle,Alle,769,330,,,,,,,,,,,,,,,,,,769,716,93.11%,357,49.86%,440,61.45%,150,20.95%,296,41.34%,59,7.67%,,,,,,,93,12.09%,,,397,51.63%,222,28.87%,178,23.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,149,19.38%,,,,,,,667,86.74%
2012,Dialyse,Alle,V,45-64 jaar,Hemodialyse (HD),Alle subvormen HD,603,259,,,,,,,,,,,,,,,,,,604,568,94.04%,288,50.70%,349,61.44%,,,,,,,,,,,,,83,13.74%,,,303,50.17%,168,27.81%,,,,,,,,,,,,,,,50,8.28%,,,,,,,,,,,61,10.10%,,,,,,,,,515,85.26%
2012,Dialyse,Alle,V,45-64 jaar,Hemodialyse (HD),HD in centrum,569,245,,,,,,,,,,,,,,,,,,570,538,94.39%,275,51.12%,329,61.15%,,,,,,,,,,,,,,,,,290,50.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,85.79%
2012,Dialyse,Alle,V,45-64 jaar,Hemodialyse (HD),HD thuis,34,15,,,,,,,,,,,,,,,,,,34,30,88.24%,13,43.33%,20,66.67%,,,,,,,,,,,,,,,,,13,38.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,76.47%
2012,Dialyse,Alle,V,45-64 jaar,Peritoneale dialyse (PD),Alle subvormen PD,165,71,,,,,,,,,,,,,,,,,,165,148,89.70%,69,46.62%,91,61.49%,,,,,,,,,,,,,10,6.06%,,,94,56.97%,54,32.73%,,,,,,,,,,,,,,,17,10.30%,,,,,,,,,,,14,8.48%,,,,,,,,,152,92.12%
2012,Dialyse,Alle,V,45-64 jaar,Peritoneale dialyse (PD),APD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Dialyse,Alle,V,45-64 jaar,Peritoneale dialyse (PD),CAPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Dialyse,Alle,V,65-74 jaar,Alle,Alle,616,746,,,,,,,,,,,,,,,,,,616,584,94.81%,327,55.99%,345,59.08%,123,21.06%,244,41.78%,52,8.44%,,,,,,,81,13.15%,13,16.05%,306,49.68%,164,26.62%,165,26.79%,70,11.36%,359,58.28%,19,3.08%,95,15.42%,83,13.47%,425,68.99%,80,12.99%,,,,,,,,,,,76,12.34%,159,25.81%,81,13.15%,74,12.01%,20,3.25%,549,89.12%
2012,Dialyse,Alle,V,65-74 jaar,Hemodialyse (HD),Alle subvormen HD,526,639,,,,,,,,,,,,,,,,,,526,503,95.63%,288,57.26%,291,57.85%,102,20.28%,213,42.35%,,,,,,,,,,,,,246,46.77%,134,25.48%,139,26.43%,,,,,,,,,,,,,69,13.12%,,,,,,,,,,,61,11.60%,142,27.00%,,,,,,,463,88.02%
2012,Dialyse,Alle,V,65-74 jaar,Hemodialyse (HD),HD in centrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Dialyse,Alle,V,65-74 jaar,Hemodialyse (HD),HD thuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Dialyse,Alle,V,65-74 jaar,Peritoneale dialyse (PD),Alle subvormen PD,89,108,,,,,,,,,,,,,,,,,,90,81,90.00%,39,48.15%,54,66.67%,21,25.93%,31,38.27%,,,,,,,,,,,,,60,66.67%,30,33.33%,26,28.89%,,,,,,,,,,,,,11,12.22%,,,,,,,,,,,15,16.67%,17,18.89%,,,,,,,86,95.56%
