jaar;patientgroep;Provincie;geslacht;leeftijdsklasse;prevalentie_abs;prevalentie_rel;prevalentie_rel_std;incidentie_abs;incidentie_rel;incidentie_rel_std;Aantal_patienten_kosten;Zorgkosten_totaal;Zorgkosten_eerstelijns;Zorgkosten_medicatie;Zorgkosten_ziekenvervoer;Zorgkosten_GGZ;Zorgkosten_overig;Zorgkosten_DBC_RRT;Zorgkosten_DBC_overig;Zorgkosten_DBC_totaal;Noemer_overige_themas;Aantal_specialist;Pct_specialist;Aantal_cardioloog;Pct_cardioloog;Aantal_internist;Pct_internist;Aantal_dermatoloog;Pct_dermatoloog;Aantal_chirurg;Pct_chrirug;Aantal_fysiotherapeut;Pct_fysiotherapeut;Aantal_dietist;pct_dietist;Aantal_intensive_care;Pct_intensive_care;Aantal_dialyse_intensive_care;Pct_dialyse_intensive_care;Aantal_antihypertensiva_RAAS;Pct_antihypertensiva_RAAS;Aantal_antihyp_ACE_remmers;Pct_antihyp_ACE_remmers;Aantal_diabetesmed_insuline;Pct_diabetesmed_insuline;Aantal_diabetesmed_overig;Pct_diabetesmed_overig;Aantal_lipid_statine;Pct_lipid_statine;Aantal_lipid_overig;Pct_lipid_overig;Aantal_antidepressiva;Pct_antidepressiva;Aantal_slaapmedicatie;Pct_slaapmedicatie;Aantal_antistolling;Pct_antistolling;Aantal_overlijden;pct_overlijden;Aantal_procedure_vaatlijden;Pct_procedure_vaatlijden;Aantal_SEH;pct_seh;Aantal_polikliniek;Pct_polikliniek;Aantal_opname;pct_opname;biopt;pct_biopt;Aantal_maligniteit;pct_maligniteit;Aantal_macrovasculair;pct_macrovasculair;Aantal_coronair;pct_coronair;Aantal_perif_art_vaatl;Pct_perif_art_vaatl;Aantal_CVA_TIA;Pct_CVA_TIA;Aantal_hypertensie;pct_hypertensie
2012;Niertransplantatie;Groningen;V;20-44 jaar;19;206;218;;;;;;;;;;;;;;19;15;78.95%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;78.95%
2012;Niertransplantatie;Groningen;V;45-64 jaar;55;699;695;;;;;;;;;;;;;;55;46;83.64%;;;16;34.78%;14;30.43%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;20.00%;;;;;;;;;47;85.45%
2012;Niertransplantatie;Groningen;V;65 jaar en ouder;30;541;548;;;;;;;;;;;;;;30;28;93.33%;;;;;;;;;;;;;;;;;17;56.67%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;96.67%
2012;Niertransplantatie;Groningen;M;Alle (20+);129;585;598;;;;;;;;;;;;;;129;96;74.42%;24;25.00%;34;35.42%;36;37.50%;27;28.13%;;;;;;;;;80;62.02%;61;47.29%;16;12.40%;18;13.95%;78;60.47%;;;;;;;;;;;;;;;;;;;;;18;13.95%;17;13.18%;;;;;;;120;93.02%
2012;Niertransplantatie;Groningen;M;20-44 jaar;42;438;464;;;;;;;;;;;;;;42;23;54.76%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;88.10%
2012;Niertransplantatie;Groningen;M;45-64 jaar;53;663;666;;;;;;;;;;;;;;53;45;84.91%;14;31.11%;16;35.56%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;18.87%;;;;;;;50;94.34%
2012;Niertransplantatie;Groningen;M;65 jaar en ouder;34;764;746;;;;;;;;;;;;;;34;28;82.35%;;;;;;;;;;;;;;;;;20;58.82%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;97.06%
2012;Niertransplantatie;Friesland;M+V;Alle (20+);279;582;569;;;;;;;;;;;;;;279;223;79.93%;73;32.74%;73;32.74%;89;39.91%;65;29.15%;12;4.30%;;;;;;;142;50.90%;99;35.48%;25;8.96%;31;11.11%;123;44.09%;;;39;13.98%;12;4.30%;116;41.58%;14;5.02%;;;;;;;;;;;43;15.41%;34;12.19%;19;6.81%;15;5.38%;;;244;87.46%
2012;Niertransplantatie;Friesland;M+V;20-44 jaar;64;347;347;;;;;;;;;;;;;;64;42;65.63%;;;;;;;;;;;;;;;;;32;50.00%;21;32.81%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;89.06%
2012;Niertransplantatie;Friesland;M+V;45-64 jaar;146;812;809;;;;;;;;;;;;;;146;114;78.08%;;;;;;;;;;;;;;;;;74;50.68%;50;34.25%;14;9.59%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125;85.62%
2012;Niertransplantatie;Friesland;M+V;65 jaar en ouder;69;598;584;;;;;;;;;;;;;;69;67;97.10%;26;38.81%;15;22.39%;28;41.79%;24;35.82%;;;;;;;;;36;52.17%;28;40.58%;;;11;15.94%;44;63.77%;;;15;21.74%;;;44;63.77%;;;;;;;;;;;;;18;26.09%;16;23.19%;10;14.49%;;;;;62;89.86%
2012;Niertransplantatie;Friesland;V;Alle (20+);135;557;548;;;;;;;;;;;;;;135;109;80.74%;30;27.52%;37;33.94%;50;45.87%;33;30.28%;;;;;;;;;60;44.44%;37;27.41%;13;9.63%;12;8.89%;48;35.56%;;;;;;;;;;;;;;;;;;;;;22;16.30%;10;7.41%;;;;;;;117;86.67%
2012;Niertransplantatie;Friesland;V;20-44 jaar;32;356;356;;;;;;;;;;;;;;32;22;68.75%;;;;;;;;;;;;;;;;;16;50.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;84.38%
2012;Niertransplantatie;Friesland;V;45-64 jaar;76;851;848;;;;;;;;;;;;;;76;60;78.95%;;;;;;;;;;;;;;;;;32;42.11%;19;25.00%;;;11;14.47%;;;;;;;;;;;;;;;;;;;;;;;14;18.42%;;;;;;;;;66;86.84%
2012;Niertransplantatie;Friesland;V;65 jaar en ouder;27;426;424;;;;;;;;;;;;;;27;27;100.0%;12;44.44%;;;;;;;;;;;;;;;12;44.44%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;88.89%
2012;Niertransplantatie;Friesland;M;Alle (20+);144;608;591;;;;;;;;;;;;;;144;114;79.17%;43;37.72%;36;31.58%;39;34.21%;32;28.07%;;;;;;;;;82;56.94%;62;43.06%;12;8.33%;19;13.19%;75;52.08%;;;;;;;;;;;;;;;;;;;;;21;14.58%;24;16.67%;;;;;;;127;88.19%
2012;Niertransplantatie;Friesland;M;20-44 jaar;32;339;339;;;;;;;;;;;;;;32;20;62.50%;;;;;;;;;;;;;;;;;16;50.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;93.75%
2012;Niertransplantatie;Friesland;M;45-64 jaar;70;774;770;;;;;;;;;;;;;;70;54;77.14%;;;;;;;;;;;;;;;;;42;60.00%;31;44.29%;;;;;32;45.71%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;84.29%
2012;Niertransplantatie;Friesland;M;65 jaar en ouder;42;805;781;;;;;;;;;;;;;;42;40;95.24%;14;35.00%;;;;;;;;;;;;;;;24;57.14%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;90.48%
2012;Niertransplantatie;Drenthe;M+V;Alle (20+);204;545;528;;;;;;;;;;;;;;204;168;82.35%;50;29.76%;77;45.83%;60;35.71%;38;22.62%;14;6.86%;;;;;;;114;55.88%;79;38.73%;26;12.75%;19;9.31%;117;57.35%;;;15;7.35%;;;73;35.78%;;;;;;;;;;;;;36;17.65%;21;10.29%;13;6.37%;;;;;178;87.25%
2012;Niertransplantatie;Drenthe;M+V;20-44 jaar;46;349;351;;;;;;;;;;;;;;46;31;67.39%;;;;;;;;;;;;;;;;;26;56.52%;18;39.13%;;;;;15;32.61%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;84.78%
2012;Niertransplantatie;Drenthe;M+V;45-64 jaar;103;709;705;;;;;;;;;;;;;;103;85;82.52%;;;;;;;;;;;;;;;;;56;54.37%;39;37.86%;14;13.59%;12;11.65%;66;64.08%;;;;;;;;;;;;;;;;;;;;;;;10;9.71%;;;;;;;89;86.41%
2012;Niertransplantatie;Drenthe;M+V;65 jaar en ouder;55;567;561;;;;;;;;;;;;;;55;52;94.55%;21;40.38%;28;53.85%;24;46.15%;13;25.00%;;;;;;;;;32;58.18%;22;40.00%;;;;;36;65.45%;;;;;;;34;61.82%;;;;;;;;;;;;;17;30.91%;;;;;;;;;50;90.91%
2012;Niertransplantatie;Drenthe;V;Alle (20+);74;386;368;;;;;;;;;;;;;;74;66;89.19%;17;25.76%;28;42.42%;25;37.88%;;;;;;;;;;;40;54.05%;30;40.54%;10;13.51%;;;;;;;;;;;;;;;;;;;;;;;;;13;17.57%;;;;;;;;;64;86.49%
2012;Niertransplantatie;Drenthe;V;20-44 jaar;13;199;198;;;;;;;;;;;;;;13;12;92.31%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;84.62%
2012;Niertransplantatie;Drenthe;V;45-64 jaar;38;522;518;;;;;;;;;;;;;;38;32;84.21%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;84.21%
2012;Niertransplantatie;Drenthe;V;65 jaar en ouder;23;431;427;;;;;;;;;;;;;;23;22;95.65%;;;;;;;;;;;;;;;;;14;60.87%;10;43.48%;;;;;15;65.22%;;;;;;;12;52.17%;;;;;;;;;;;;;;;;;;;;;;;21;91.30%
2012;Niertransplantatie;Drenthe;M;Alle (20+);130;713;695;;;;;;;;;;;;;;130;102;78.46%;33;32.35%;49;48.04%;35;34.31%;;;;;;;;;;;74;56.92%;49;37.69%;16;12.31%;;;;;;;;;;;;;;;;;;;;;;;;;23;17.69%;;;;;;;;;114;87.69%
2012;Niertransplantatie;Drenthe;M;20-44 jaar;33;497;504;;;;;;;;;;;;;;33;19;57.58%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;84.85%
2012;Niertransplantatie;Drenthe;M;45-64 jaar;65;896;892;;;;;;;;;;;;;;65;53;81.54%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;87.69%
2012;Niertransplantatie;Drenthe;M;65 jaar en ouder;32;735;726;;;;;;;;;;;;;;32;30;93.75%;;;;;;;;;;;;;;;;;18;56.25%;12;37.50%;;;;;21;65.63%;;;;;;;22;68.75%;;;;;;;;;;;;;;;;;;;;;;;29;90.63%
2012;Niertransplantatie;Overijssel;M+V;Alle (20+);566;669;671;;;;;;;;;;;;;;566;483;85.34%;134;27.74%;211;43.69%;188;38.92%;142;29.40%;45;7.95%;;;27;4.77%;;;311;54.95%;163;28.80%;75;13.25%;84;14.84%;348;61.48%;29;5.12%;50;8.83%;20;3.53%;237;41.87%;16;2.83%;;;;;;;;;;;102;18.02%;82;14.49%;49;8.66%;32;5.65%;;;514;90.81%
2012;Niertransplantatie;Overijssel;M+V;20-44 jaar;142;406;405;;;;;;;;;;;;;;142;107;75.35%;17;15.89%;41;38.32%;26;24.30%;26;24.30%;;;;;;;;;81;57.04%;43;30.28%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;86.62%
2012;Niertransplantatie;Overijssel;M+V;45-64 jaar;291;958;957;;;;;;;;;;;;;;291;249;85.57%;66;26.51%;110;44.18%;90;36.14%;70;28.11%;;;;;17;5.84%;;;166;57.04%;87;29.90%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;264;90.72%
2012;Niertransplantatie;Overijssel;M+V;65 jaar en ouder;133;692;691;;;;;;;;;;;;;;133;127;95.49%;51;40.16%;60;47.24%;72;56.69%;46;36.22%;15;11.28%;;;;;;;64;48.12%;33;24.81%;28;21.05%;30;22.56%;98;73.68%;;;12;9.02%;;;87;65.41%;11;8.27%;;;;;;;;;;;47;35.34%;32;24.06%;20;15.04%;14;10.53%;;;127;95.49%
2012;Niertransplantatie;Overijssel;V;Alle (20+);249;581;582;;;;;;;;;;;;;;249;221;88.76%;49;22.17%;99;44.80%;91;41.18%;63;28.51%;22;8.84%;;;15;6.02%;;;122;49.00%;48;19.28%;32;12.85%;33;13.25%;154;61.85%;14;5.62%;28;11.24%;;;;;;;;;;;;;;;;;45;18.07%;29;11.65%;12;4.82%;16;6.43%;;;218;87.55%
2012;Niertransplantatie;Overijssel;V;20-44 jaar;58;339;338;;;;;;;;;;;;;;58;47;81.03%;;;;;;;;;;;;;;;;;33;56.90%;11;18.97%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;82.76%
2012;Niertransplantatie;Overijssel;V;45-64 jaar;128;850;850;;;;;;;;;;;;;;128;114;89.06%;;;;;;;;;10;7.81%;;;;;;;60;46.88%;20;15.63%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111;86.72%
2012;Niertransplantatie;Overijssel;V;65 jaar en ouder;63;592;593;;;;;;;;;;;;;;63;60;95.24%;20;33.33%;27;45.00%;35;58.33%;24;40.00%;;;;;;;;;29;46.03%;17;26.98%;12;19.05%;14;22.22%;47;74.60%;;;;;;;41;65.08%;;;;;;;;;;;;;16;25.40%;12;19.05%;;;;;;;59;93.65%
2012;Niertransplantatie;Overijssel;M;Alle (20+);317;760;764;;;;;;;;;;;;;;317;262;82.65%;85;32.44%;112;42.75%;97;37.02%;79;30.15%;23;7.26%;;;12;3.79%;;;189;59.62%;115;36.28%;43;13.56%;51;16.09%;194;61.20%;15;4.73%;22;6.94%;;;;;;;;;;;;;;;;;57;17.98%;53;16.72%;37;11.67%;16;5.05%;;;296;93.38%
2012;Niertransplantatie;Overijssel;M;20-44 jaar;84;471;471;;;;;;;;;;;;;;84;60;71.43%;;;;;;;;;;;;;;;;;48;57.14%;32;38.10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;89.29%
2012;Niertransplantatie;Overijssel;M;45-64 jaar;163;1064;1064;;;;;;;;;;;;;;163;135;82.82%;;;;;;;;;11;6.75%;;;;;;;106;65.03%;67;41.10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;93.87%
2012;Niertransplantatie;Overijssel;M;65 jaar en ouder;70;816;813;;;;;;;;;;;;;;70;67;95.71%;31;46.27%;33;49.25%;37;55.22%;22;32.84%;;;;;;;;;35;50.00%;16;22.86%;16;22.86%;16;22.86%;51;72.86%;;;;;;;46;65.71%;;;;;;;;;;;;;31;44.29%;20;28.57%;;;;;;;68;97.14%
2012;Niertransplantatie;Flevoland;M+V;Alle (20+);121;419;434;;;;;;;;;;;;;;121;103;85.12%;39;37.86%;50;48.54%;35;33.98%;;;;;;;;;;;64;52.89%;38;31.40%;17;14.05%;18;14.88%;73;60.33%;;;;;;;43;35.54%;;;;;;;;;;;;;17;14.05%;13;10.74%;;;;;;;105;86.78%
2012;Niertransplantatie;Flevoland;M+V;20-44 jaar;32;240;240;;;;;;;;;;;;;;32;25;78.13%;;;;;;;;;;;;;;;;;13;40.63%;;;;;;;16;50.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;84.38%
2012;Niertransplantatie;Flevoland;M+V;45-64 jaar;61;553;564;;;;;;;;;;;;;;61;53;86.89%;;;;;;;;;;;;;;;;;35;57.38%;22;36.07%;;;11;18.03%;38;62.30%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;83.61%
2012;Niertransplantatie;Flevoland;M+V;65 jaar en ouder;28;622;576;;;;;;;;;;;;;;28;25;89.29%;13;52.00%;10;40.00%;13;52.00%;;;;;;;;;;;16;57.14%;;;;;;;19;67.86%;;;;;;;18;64.29%;;;;;;;;;;;;;;;;;;;;;;;27;96.43%
2012;Niertransplantatie;Flevoland;V;Alle (20+);47;319;338;;;;;;;;;;;;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;80.85%
2012;Niertransplantatie;Flevoland;V;20-44 jaar;10;147;145;;;;;;;;;;;;;;10;10;100.0%;;;10;100.0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Niertransplantatie;Flevoland;V;45-64 jaar;25;454;472;;;;;;;;;;;;;;25;22;88.00%;;;;;;;;;;;;;;;;;11;44.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Niertransplantatie;Flevoland;V;65 jaar en ouder;12;498;460;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;100.0%
2012;Niertransplantatie;Flevoland;M;Alle (20+);74;522;534;;;;;;;;;;;;;;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67;90.54%
2012;Niertransplantatie;Flevoland;M;20-44 jaar;22;335;335;;;;;;;;;;;;;;22;15;68.18%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Niertransplantatie;Flevoland;M;45-64 jaar;36;651;656;;;;;;;;;;;;;;36;31;86.11%;;;14;45.16%;10;32.26%;;;;;;;;;;;24;66.67%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;Niertransplantatie;Flevoland;M;65 jaar en ouder;16;766;720;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;93.75%
2012;Niertransplantatie;Gelderland;M+V;Alle (20+);819;538;531;;;;;;;;;;;;;;819;701;85.59%;200;28.53%;262;37.38%;291;41.51%;169;24.11%;51;6.23%;;;27;3.30%;;;473;57.75%;333;40.66%;111;13.55%;147;17.95%;542;66.18%;101;12.33%;61;7.45%;19;2.32%;319;38.95%;24;2.93%;;;;;;;;;;;137;16.73%;98;11.97%;54;6.59%;42;5.13%;12;1.47%;730;89.13%
2012;Niertransplantatie;Gelderland;M+V;20-44 jaar;204;341;340;;;;;;;;;;;;;;204;151;74.02%;14;9.27%;52;34.44%;49;32.45%;28;18.54%;10;4.90%;;;;;;;104;50.98%;77;37.75%;16;7.84%;17;8.33%;102;50.00%;15;7.35%;10;4.90%;;;38;18.63%;;;;;;;;;;;;;11;5.39%;;;;;;;;;169;82.84%
2012;Niertransplantatie;Gelderland;M+V;45-64 jaar;440;771;770;;;;;;;;;;;;;;440;381;86.59%;115;30.18%;149;39.11%;158;41.47%;94;24.67%;27;6.14%;;;17;3.86%;;;257;58.41%;187;42.50%;65;14.77%;85;19.32%;306;69.55%;61;13.86%;36;8.18%;11;2.50%;182;41.36%;;;;;;;;;;;;;76;17.27%;;;;;;;;;397;90.23%
